Job_Title,Company,Location,Date_Posted,Looking_for,Category
Senior Backend Developer,Cashlink,"Remote-First (people are around Frankfurt/Berlin/Munich), Germany",20 November 2021,"Back end,Database,Web, Django, Postgres, Docker, REST-APIs",Developer / Engineer
Sr. Python Developer,CGI,"Waterville, Maine, USA",18 November 2021,,Developer / Engineer
Python Engineer,DevsData,"Warsaw, Partly Remote, Poland",18 November 2021,"Back end,Cloud, Python, AWS, Docker",Developer / Engineer
Backend Engineer (Remote),PolicyFly,"Remote, United States",17 November 2021,"Back end,Big Data,Cloud,Database,Integration, django, go, postgresql, docker",Developer / Engineer
Software Developer – Data Engineering,Digital Science,"Europe, Europe",17 November 2021,"Big Data,Cloud,Database,Machine Learning,Text Processing, Git, Docker, Kubernetes, Rust",Developer / Engineer
Senior Backend Developer,DevsData,"Remote, Remote, Remote",17 November 2021,"Back end,Cloud,Finance, Python, AWS, Docker, MongoDB, Redis, MySQL",Developer / Engineer
Python Backend Engineer,BMAT,"Barcelona (Remote), Spain",17 November 2021,"Big Data,Cloud,Database,Machine Learning",Developer / Engineer
Senior Backend Engineer,BMAT,"Barcelona (Remote), Spain",17 November 2021,"Back end,Web",Developer / Engineer
Senior Web Developer (Remote),Encompaas,"Los Angeles, USA",16 November 2021,"Back end,Database,Front end,Integration,Systems,Web",Developer / Engineer
Python Backend Developer (m/f/d),Vantis,"Munich, Munich, Germany",16 November 2021,"Back end,Big Data,Cloud,Database, Django, PostgresQL",Developer / Engineer
Python Backend Engineer in Hasselt with a passion for data science and healthcare,Kwarts,"Hasselt, Belgium",15 November 2021,"Back end,Big Data,Cloud,Database,Integration,Machine Learning,Management,Testing, RestAPIs, AWS Cloud infrastructure, data pipelines, SQL, NoSQl",Developer / Engineer
Python Backend Developer,Alicia Insurance,"Rotterdam, Zuid-Holland, Nederland/ the Netherlands",12 November 2021,"Back end, Data Processing",Developer / Engineer
Mid / Senior Python Developer,Tiller Technologies Limited,"London or anywhere in UK, United Kingdom",12 November 2021,"Back end,Cloud,Database,Finance,Integration, Django, Pandas (optional React and SQL)",Developer / Engineer
Genomics Staff Data Scientist,Lawrence Berkeley National Laboratory,"Berkeley, Ca, United States",11 November 2021,"Database,Web",Researcher / Scientist
Python Developer with Big Data Experience (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,"Back end,Big Data,Cloud,Database,Lead,Systems",Developer / Engineer
Senior Python Developer (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,"Back end,Big Data,Cloud,Web",Developer / Engineer
Data Engineering Senior Lead,Nesta,"London, London, United Kingdom",11 November 2021,"Big Data,Front end,Lead,Management,Systems",Manager / Executive
Senior Python Engineer,Bushel,"Fargo, ND, United States",11 November 2021,"Back end, Python",Developer / Engineer
Senior Backend Developer Python,Coosto,"Eindhoven, Noord-Brabant, The Netherlands",11 November 2021,"Back end,Database",Developer / Engineer
Remote Direct Placement Opportunity:  Python/Django Developers!,Capstone IT,"Remote, Nebraska, United States",11 November 2021,Back end,Developer / Engineer
ML Software Engineer,Berkeley Existential Risk Initiative,"Amherst, MA, United States",10 November 2021,Machine Learning,Developer / Engineer
Scalable API Python Developer,Zenith Strategic Global Partners,"REMOTE, United States",10 November 2021,"Back end,Cloud,Integration,Lead",Developer / Engineer
Experienced Python and Django Developers (Fully Remote - Full Time),Stack Builders,"Remote, Remote",09 November 2021,"Back end,Integration,Testing,Web, Django, ElasticSearch, Socket programming with Python, and Celery (as a nice to have)",Developer / Engineer
Full Stack Python/Django Developers w/ JavaScript Experience (Remote-Full Time),Stack Builders,"New York, New York, USA",09 November 2021,"Back end,Front end,Web, Python, Django, Javascript, React",Developer / Engineer
"Three Part Time (67%) Python Developers (1yr + 1yr + 5 months, all in 2022)",Institute of Astrophysics of Andalusia (IAA-CSIC),"Granada, Andalusia, Spain",09 November 2021,"Front end,Numeric processing",Developer / Engineer
Software Engineer (Python),Picnic Technologies,"Amsterdam, North Holland, The Netherlands",09 November 2021,Back end,Developer / Engineer
Backend Python Programmer (Fully Remote),Pinogy Corp,"Remote, Remote",09 November 2021,"Back end,Database",Developer / Engineer
Senior Python Developer,Private,"Berlin, Berlin- Brandenburg, Germany",09 November 2021,"Back end,Big Data,Cloud,Finance, Docker AirFlow",Developer / Engineer
Mid Python Developer,d.labs,"Remote, Slovenia",09 November 2021,"Back end,Database, python, django, SQL/NoSQL, Elasticsearch, TDD, GraphQL, English",Developer / Engineer
(Senior) Backend Developer,Yousician,"Helsinki, Uusimaa, Finland",09 November 2021,"Back end,Database, Python (Flask), MongoDB, RestAPIs",Developer / Engineer
Data Integration Architect/Engineer: Python,Shatzkin Systems Inc.,"Croton on Hudson, New York, USA",09 November 2021,"Back end,Big Data,Database,Integration,Operations,Systems",Developer / Engineer
Software Engineer,Lights On Software,"Toronto, Canada",08 November 2021,"Back end,Front end",Developer / Engineer
Research Assistant/Associate in PL/VMs,King's College London,"London / remote, England",08 November 2021,"Systems, Virtual machines, programming languages, language migration.",Researcher / Scientist
Part-Time Python Software Engineer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,"Back end,Front end,Web",Developer / Engineer
Part-Time Python Web Developer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,"Back end,Front end,Web",Developer / Engineer
Senior Open Source Developer & DevOps,OpenCraft,"Worldwide (true remote, all timezones), Germany (incorporation, no office)",05 November 2021,"Back end,Database,Front end,Integration,Management,Operations,Web, Django, React, OpenStack, AWS",Developer / Engineer
Lead Senior Software Engineer,Confidential,"Cambridge MA, MA, USA",05 November 2021,"Big Data,Cloud,Lead,Machine Learning, AWS, OOP, Jenkins",Developer / Engineer
Senior Backend Engineer (m/f/d),Cargo One GmbH,"Berlin (or remote from almost any city within the European timezones), Germany (or remote from almost any country within the European timezones)",04 November 2021,"Back end,Cloud,Integration,Web, https://www.cargo.one/teams/engineering",Developer / Engineer
Software Developer- Python,Accubits Technologies,"Trivandrum, Kerala, India",04 November 2021,"Back end,Front end,Web",Developer / Engineer
Data Scientist,Logic20/20,"Remote, Remote, United States",03 November 2021,"Machine Learning,Systems, Data Science, AI, Frameworks, R, Python",Other
Python ML Engineer,La Fosse Associates,"London, United Kingdom",03 November 2021,"Back end,Big Data,Cloud,Database,Finance,Lead,Machine Learning",Developer / Engineer
Python Data Developer - London,La Fosse Associates,"London, United Kingdom",03 November 2021,"Back end,Big Data,Database,Lead",Developer / Engineer
Python Developer - Fully Remote,La Fosse Associates,"London, United Kingdom",03 November 2021,"Back end,Lead",Developer / Engineer
"Python Lead (Python, GCP, Data Science Team) - Remote UK",La Fosse Associates,"London, United Kingdom",03 November 2021,"Back end,Big Data,Cloud,Database,Lead,Machine Learning",Developer / Engineer
Python Developer/Data Pipeline Architect,Wells Fargo,"Minneapolis - St. Paul Area, Minnesota, United States",03 November 2021,"Back end,Big Data,Finance,Systems,Testing",Developer / Engineer
Remote Fullstack Developer (Python/React/AWS),Finetune,"Remote (standard EST meeting times), Remote (standard EST meeting times), Remote (standard EST meeting times)",02 November 2021,"Back end,Cloud,Front end,Integration,Systems,Text Processing, Python, React",Developer / Engineer
Senior Backend End Engineer,CANOA SUPPLY,"Remote, Europe, US, latin America",02 November 2021,"Back end,Database,Operations,Web",Developer / Engineer
Senior Fullstack (Javascript-Python),ParallelStaff,"Remote, Remote, USA",01 November 2021,"Back end,Integration,Lead, Javascript, VueJS and Python",Developer / Engineer
Python Senior Developer,Enuan Srl,"Milano, Italy",29 October 2021,"Back end,Cloud,Database,Integration,Operations",Developer / Engineer
Backend Engineer,Haven,"Remote, NY, United States",27 October 2021,"Back end,Integration,Management,Systems, Django, AWS",Developer / Engineer
Instructor Position: Introduction to Python Programming and/or Intermediate Python,"UC Davis ,Continuing and Professional Education","Davis, CA, United States",26 October 2021,,Other
Senior Manager - Technical Consulting,Quansight,"Austin, TX, United States",26 October 2021,"Machine Learning,Management, PyTorch, Tensorflow",Manager / Executive
"Jr Software Engineer: learn OpenStack, IaC for scientific computing/HPC",StackHPC,"Bristol, United Kingdom",26 October 2021,"Back end,Cloud,Integration,Numeric processing,Operations,Systems, Linux, HPC, Ansible, OpenStack, Slurm, Kubernetes, Docker",Developer / Engineer
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,"Big Data,Machine Learning, map-reduce, NoSQL, Spark, HBase, Hive, Kafka, Elasticsearch, Python, SQL - Java knowledge",Developer / Engineer
Senior Data Scientist (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,"Big Data,Integration,Machine Learning, Python/ SQL/Python data science libraries/ R/ Matlab/Deep learning framworks like Tensorflow, Keras",Other
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",25 October 2021,"Big Data,Machine Learning, Python/SQL/Java knowledge/Algorithm design and data structures/ Publishing APIs using web services",Other
Data Analyst,Bolt Talent Solutions,"Remote Work, South Africa, South Africa",25 October 2021,"Big Data,Database, SQL /Python/ Data Analysis/ Data Presentation/ NoSql databases/ Statistics/ Experimental Design",Data Analyst
Backend Python Developer for Distributed Company,DomainsBot.com,"Remote, Remote, Remote",22 October 2021,"Back end,Big Data,Cloud,Database,Machine Learning,Operations,Text Processing, AWS, REST, Message Passing",Developer / Engineer
