Job_Title,Company,Location,Date_Posted,Category,Looking_for,Description
Sr. Python Developer,CGI,"Waterville, Maine, USA",18 November 2021,Developer / Engineer,,"5+ years managing a team of developers 5+ years working on python development projects Collaborate with business and technical SMEs to define solution design Contribute to and author solution design documents Management of DevOps pipeline using Jenkins Code management using GitHub/BitBucket Docker image creating and deployment Ability to work with onshore and offshore teams in a DevOps and Agile manner Demonstrated ability to pivot quickly and reprioritize in a rapidly changing work environment Experience with ambiguous and complex technology-oriented projects Who is familiar with content/file/data migrations; at least has a basic understanding of it. Has knowledge of the Agile methodology and has practiced it Has knowledge of Scrum/Kanban and has practiced it Lastly, has great emotional intelligence "
Python Engineer,DevsData,"Warsaw, Partly Remote, Poland",18 November 2021,Developer / Engineer,"Back end,Cloud","Requirements: Senior or strong Mid, ideally 3+ years of experience Strong experience with Python Communicative English, ideally B2 Ability to efficiently solve problems Experience with AWS, Docker, Linux and Git Proactive communication, open mindset, curiosity, and great teamwork spirit "
Backend Engineer (Remote),PolicyFly,"Remote, United States",17 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Integration",Languages: Expert in Python -- you should feel extremely comfortable with developing and maintaining scalable enterprise Python applications Experience with Go -- you may not have a ton of experience but have built a few apps and want to do a lot more Go! 
Software Developer – Data Engineering,Digital Science,"Europe, Europe",17 November 2021,Developer / Engineer,"Big Data,Cloud,Database,Machine Learning,Text Processing","Experience Several years of professional experience with Python development Working with medium to large scale data processing Using, creating and working with SQL databases Using distributed version control systems (git) "
Senior Backend Developer,DevsData,"Remote, Remote, Remote",17 November 2021,Developer / Engineer,"Back end,Cloud,Finance","Significant software engineering experience in Python (or other programming language) Great teamwork and communication skills in English, comfortable preparing high quality documentation and designs to aid understanding and knowledge sharing. Understanding of microservice architectures, container based 12 factor apps and cloud native patterns around fault tolerance. Experience building contract first services and adopting patterns and frameworks to enable appropriate automated testing at unit, contract, service and end to end levels. Experience building services that can be deployed on demand, quickly and with quality. * Excellent understanding of CI/CD patterns and good practice. Understands the role of high quality observability in building highly scalable and performant software Experience working with a public or private cloud vendor Experience working in Finance is beneficial "
Python Backend Engineer,BMAT,"Barcelona (Remote), Spain",17 November 2021,Developer / Engineer,"Big Data,Cloud,Database,Machine Learning","All About You Experience as a Software or Data Engineer Proficient in Python. Code with test coverage. Experience developing ETLs integrating data from different sources. Experience with entity reconciliation, data matching. Love digging into (music) data: understand it, find patterns, clean it, find value. Experience working with document-oriented databases (MongoDB, Elasticsearch). Linux and Git experience. Experience with software design life cycle and good practices (Code Reviews, Refactoring). Forecast software and infrastructure scalability issues and capacity to prevent them. Good documentation and communication skills. Proactive team player with high-quality awareness and independent working attitude. You value a DevOps culture. "
Senior Backend Engineer,BMAT,"Barcelona (Remote), Spain",17 November 2021,Developer / Engineer,"Back end,Web","All about you At least 3 years of experience in a similar position Strong knowledge of Python Knowledge in MySQL, PostgreSQL and MongoDB as database management systems Lucene and ElasticSearch are our text-search technologies Resolutive, creative and clear communication Think uncertainty creates opportunity rather than stress "
Senior Web Developer (Remote),Encompaas,"Los Angeles, USA",16 November 2021,Developer / Engineer,"Back end,Database,Front end,Integration,Systems,Web","You have multiple years of experience developing, testing, and maintaining production-level software in a manner responsive to budgets, deadlines, and user requirements You have very strong verbal and written communication skills (in English) While the position is remote and open to anyone anywhere in the world, we do expect your availability for brainstorming, discussions, and collaborative work sessions overlaps with standard North American workday hours "
Python Backend Developer (m/f/d),Vantis,"Munich, Munich, Germany",16 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database",Professional development experience with Python and Django Excellent knowledge of software design principles English working proficiency with strong communication skills Being based in EU timezone (UTC to UTC+4) 
Python Backend Engineer in Hasselt with a passion for data science and healthcare,Kwarts,"Hasselt, Belgium",15 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Integration,Machine Learning,Management,Testing","Human Skills Global mindset and the ability to work with partially distributed teams Good communication skills: you value transparency and can explain complex concepts in a simple way Organizational skills: you are self-managing and autonomous and set the right priorities to respect the deadlines Hands-on team player, you take up your role in the team in a complementary way. Fluent in English (high level in oral and written expression) Pragmatic, get-the-job done attitude You keep track of evolutions in your profession and you translate it to your job and with appetite to develop a product vision and grow your skills Excited about topics such as AI technology, neural networks, and innovative SaaS business models Sense of humor "
