Job_Title,Company,Location,Date_Posted,Category,Looking_for,Description
Python Backend Developer,Alicia Insurance,"Rotterdam, Zuid-Holland, Nederland/ the Netherlands",12 November 2021,Developer / Engineer,Back end,"You bring the following skills and experience:You have 2-4 years of experience with Python and preferably Django and PostgreSQL.You are able to clearly communicate and prioritize, assess and advice what the impact is of changes to our data layer (pros and cons).You are also pro-active in helping prioritizing the overall work of the team.You are a quick learner.You are fluent in both English and Dutch.You possess a higher education degree (HBO/WO) in Data Science / Engineering / Tech."
Mid / Senior Python Developer,Tiller Technologies Limited,"London or anywhere in UK, United Kingdom",12 November 2021,Developer / Engineer,"Back end,Cloud,Database,Finance,Integration","Experience in:Languages: Advanced Python (async / thread-based development, OOP concepts, code refactoring & optimisation), JavaScript (Preferable)Databases: SQL, (2 years experience) (Azure SQL Optional)Python: Django or Flask (2.5 years experience), pandas, NumPy, JWTJavaScript: React / NextJS (Optional)Cloud / DevOps: Azure devops knowledge on Azure IaaS and PaaS platforms (Optional)Setup / Manage CI/CD pipelines (Preferable)Setup / Manage Azure App services (Optional)Azure Git repos, Basic Linux, (Azure Artifacts - Optional)Tools: Anaconda, Git, Excel, CSV/JSON processing (Optional)Environments: Back-end services, authentication services and External/Internal browser-based applicationsStrong experience of Architecture /design and development of (Data centric projects, Server-side application optimisation)Experience developing for financial services or other processional business service platforms (Preferable)Experience in creating applications and services utilising current industry security and resilience best practicesExperience with load testing (Optional)"
Genomics Staff Data Scientist,Lawrence Berkeley National Laboratory,"Berkeley, Ca, United States",11 November 2021,Researcher / Scientist,"Database,Web","What is Required:B.S. in a related technical/scientific field, or equivalent experience, and a minimum of 8 years related experience.Extensive experience in genomic analysis, sequencing analysis pipelines, and significant research accomplishments including a strong publication record.Proficiency in developing analysis software (Python/Perl/R) in a UNIX environment.Broad understanding of bioinformatics tools used for genome analysis, development of re-sequencing pipelines, and integration of varied large data sets.In-depth experience running high throughput analyses in a parallel computing environment (SGE, SLURM).Demonstrated ability to troubleshoot highly complex technical problems; recommend and implement actions.Effective interpersonal, verbal, and written communication skills, including public speaking and presentation skills.Demonstrated ability to work well independently as well as a part of a diverse team."
Python Developer with Big Data Experience (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Lead,Systems","We’re looking for a Python developer with 10+ years of software development experience and 5+ years of Python programming experience. Experience with Airflow, Databricks, DeltaLakes, Azure Data Factory, Terraform and/or Docker is a plus.Does this sound like you? If yes, send your resume and cover letter tojobs@sixfeetup.comwith the subject ""Python Dev with Big Data Experience"".To be considered for this position you must also take the following PI assessment:https://assess.predictiveindex.com/GWdZn.About the CompanyWhy work at Six Feet Up? We offer a unique human-friendly work environment that thrives based on the understanding that we all do our best work when we can choose how and when we work.Over the years, we have had a chance to work on exciting, highly-visible and renowned projects. We interact with high profile clients. We use Mac computers. We have quarterly Innovation Days and bi-annual retreats. We use a democratic and team-oriented decision-making process.Contact InfoContact: Laura StephensE-mail contact:jobs@sixfeetup.comWeb:https://www.sixfeetup.com/company/python-dev-big-data"
Senior Python Developer (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Web","Our dream candidate has Python web development experience; Unix/Linux systems deployment experience; and a passion for consulting, teamwork and solving problems. Terraform and Docker experience; AI/ML/Big Data experience; and/or an understanding of AWS API is a plus.As Senior Python Developer, you are expected to embody and promote the company’s 6 core values: do the right thing, go together, always improve, be proactive, use a can-do attitude and use a consultant's mindset.Does this sound like you? If yes, send your resume and cover letter tojobs@sixfeetup.comwith the subject ""Senior Python Developer.""To be considered for this position you must also take the following PI assessment:https://assess.predictiveindex.com/GWdZn.About the CompanyWhy work at Six Feet Up? We offer a unique human-friendly work environment that thrives based on the understanding that we all do our best work when we can choose how and when we work.Over the years, we have had a chance to work on exciting, highly-visible and renowned projects. We interact with high profile clients. We use Mac computers. We have quarterly Innovation Days and bi-annual retreats. We use a democratic and team-oriented decision-making process. Read more on what makes us unique...Contact InfoContact: Laura StephensE-mail contact:jobs@sixfeetup.comWeb:https://www.sixfeetup.com/company/senior-python-developer-devops"
Data Engineering Senior Lead,Nesta,"London, London, United Kingdom",11 November 2021,Manager / Executive,"Big Data,Front end,Lead,Management,Systems","The personEssentialEitherA BSc or MSc qualification in a relevant quantitative discipline plus three years relevant experience,"
Senior Python Engineer,Bushel,"Fargo, ND, United States",11 November 2021,Developer / Engineer,Back end,"Need to be located in one of the following states: Arizona, Colorado, Florida, Illinois, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Nevada, Oregon, South Dakota, Texas, Utah, Washington DC, WisconsinMust be legally authorized to work in the United States, unfortunately, we do not provide sponsorship at this time.About the CompanyBushel powers apps and websites that facilitate clear and simple business between grain companies and growers.An awarded team of consultants and builders with over 600 projects, specializing in logistics and operational solutions. Our Bushel Solutions team works with major ag industry players to discover, develop, and deploy custom software for the way you do business.At Bushel, you’ll find people clustered together around whiteboards sketching out wireframes, legs being stretched at adjustable standing desks. Conference rooms are packed with intelligence and mutual respect. There are hands reaching into the SnackNation box for a 2 p.m. energy boost. The absence of cubes allows members to flow freely; encouraging team cooperation and esoteric conversations about deep space. You’ll hear laughter erupting in any given room –– we like to laugh a lot around here.We don’t micromanage here. We have high autonomy, high accountability. We seek out the people that are self-starters. Movers and shakers. Responsible. Can see a hole and fill it.We move fast. We learn fast. We fail fast; we have a lot of grace. We don’t shirk to titles and experience; we all contribute and have a voice.Contact InfoContact: Molly McGintyE-mail contact:mmcginty@bushelpowered.comWeb:https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=64902&clientkey=484ED2188E091C199C755AB75A7B7C68"
Senior Backend Developer Python,Coosto,"Eindhoven, Noord-Brabant, The Netherlands",11 November 2021,Developer / Engineer,"Back end,Database","First of all, you have a passion for your work. You are therefore always working on new technologies, programming, innovating and continuing to challenge and develop yourself. Scalability of processes, and thus performance, is important to you and you have an affinity with distributed systems and data processing. You enjoy researching and experimenting with new tools and technologies.If you are someone with a strong sense of ownership, are open-minded, are not afraid to ask questions and are a friendly and helpful person, then you will definitely feel at home in one of our teams.Furthermore:You have a bachelor's or master's degree in Informatics or Computer Science or another relevant study program;You have +/- 3 years of experience as a Backend Developer with knowledge of architecture;Extensive experience with Python or comparable languages and good knowledge of MySQL;Extensive experience with the Linux command line, Bash, Shell Scripting and Crontabs;It is a great advantage if you have experience with one or more of the following techniques: stream processing, ETL processes, queue systems and in-memory databases.You have experience with working in an Agile environment;You have good communication skills and your English is excellent;You are a real team player."
Remote Direct Placement Opportunity:  Python/Django Developers!,Capstone IT,"Remote, Nebraska, United States",11 November 2021,Developer / Engineer,Back end,5+ years of Python/Django experience for a Developer role10+ years of Python/Django experience for a Senior Developer role
ML Software Engineer,Berkeley Existential Risk Initiative,"Amherst, MA, United States",10 November 2021,Developer / Engineer,Machine Learning,"3-7 years of relevant experienceDeep knowledge of Python or C++Broad familiarity with commonly-used machine learning algorithmsExperience leading and owning a software development project from beginning to endExcellent technical communication skills, the ability to elaborate complex technical concepts and collaborate effectively with fellow engineers and researchersPrior research or research engineering experience"
